college_name,college_link,duration,fees,rank,placement,c_type
"Dayananda Sagar College of Engineering (DSCE), Bangalore",https://www.collegesearch.in/colleges/dayananda-sagar-college-of-engineering-dsce-bangalore,4 Years,"Rs 2,54,556/-",,,
"National Institute of Engineering (NIE), Mysore",https://www.collegesearch.in/colleges/national-institute-of-engineering-nie-mysore,4 Years,"Rs 5,87,680/-",,"Average -Rs.
                                4.75 L.P.A/-Highest -Rs.
                                7.50 L.P.A/-",
"Walchand College of Engineering, Sangli",https://www.collegesearch.in/colleges/walchand-college-of-engineering-sangli,4 Years,"Rs 1,48,000/-",,"Average -Rs.
                                3.56 L.P.A/-Highest -Rs.
                                9.30 L.P.A/-",
"KIET Group of Institutions, Ghaziabad",https://www.collegesearch.in/colleges/kiet-group-of-institutions,4 Years,"Rs 4,81,798/-",,,
"GITAM University, Visakhapatnam",https://www.collegesearch.in/university/gitam-university-visakhapatnam,4 Years,"Rs 8,88,800/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                7.5 L.P.A/-",Deemed
"Indian Institute of Engineering Science and Technology (IIEST), Howrah",https://www.collegesearch.in/colleges/indian-institute-of-engineering-science-and-technology-iiest,5 Years,"Rs 1,38,600/-",,,State University
"Andhra University College of Engineering, Visakhapatnam",https://www.collegesearch.in/colleges/andhra-university-college-of-engineering-visakhapatnam,4 Years,"Rs 29,540/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                8 L.P.A/-",Autonomous
"Guru Nanak Dev Engineering College, Ludhiana",https://www.collegesearch.in/colleges/guru-nanak-dev-engineering-college-ludhiana,4 Years,"Rs 3,49,456/-",,"Average -Rs.
                                2.5 L.P.A/-Highest -Rs.
                                5.5 L.P.A/-",
"Sharda University (SU), Greater Noida",https://www.collegesearch.in/university/sharda-university-su-greater-noida,4 Years,"Rs 7,05,708/-",,"Average -Rs.
                                4.5 L.P.A/-Highest -Rs.
                                10 L.P.A/-",State Private University
"KIET Group of Institutions, Ghaziabad",https://www.collegesearch.in/colleges/kiet-group-of-institutions,4 Years,"Rs 4,81,798/-",,,
"Indian Institute of Engineering Science and Technology (IIEST), Howrah",https://www.collegesearch.in/colleges/indian-institute-of-engineering-science-and-technology-iiest,5 Years,"Rs 1,38,600/-",,,State University
"Fr Conceicao Rodrigues College of Engineering, Mumbai",https://www.collegesearch.in/colleges/fr-conceicao-rodrigues-college-of-engineering-mumbai,4 Years,"Rs 5,64,184/-",,"Average -Rs.
                                3.0 L.P.A/-",
